Lepirudin|For the treatment of heparin-induced thrombocytopenia|Antithrombins
Cetuximab|For treatment of EGFR-expressing metastatic colorectal cancer in patients who are refractory to other irinotecan-based chemotherapy regimens. Cetuximab is also indicated for treatment of squamous cell carcinoma of the head and neck in conjucntion with radiation therapy.|Antineoplastic Agents
Dornase alfa|Used as adjunct therapy in the treatment of cystic fibrosis. |Enzymes
Denileukin diftitox|For treatment of cutaneous T-cell lymphoma|Antineoplastic Agents
Etanercept|For treatment of severe active rheumatoid arthritis in adults, severe juvenile idiopathic arthritis, ankylosing spondylitis, and severe plaque psoriasis.|Immunosuppressive Agents
Bivalirudin|For treatment of heparin-induced thrombocytopenia and for theprevention of thrombosis. Bivalirudin is indicated for use inpatients undergoing percutaneous coronary intervention (PCI), inpatients at moderate to high risk acute coronary syndromes due tounstable angina or non-ST segment elevation in whom a PCI is planned.|Antithrombins
Leuprolide|For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty|Antineoplastic Agents, Hormonal
Peginterferon alfa-2a|For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.|Immunosuppressive Agents
Alteplase|For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli|Thrombolytic Agents
Sermorelin|For the treatment of dwarfism, prevention of HIV-induced weight loss|Hormone Replacement Agents
Interferon alfa-n1|For treatment of venereal or genital warts caused by the Human Papiloma Virus|Antiviral Agents
Darbepoetin alfa|For the treatment of anemia (from renal transplants or certain HIV treatment)|Hematinics
Urokinase|Urokinase can be used for the treatment of pulminary embolism, coronary artery thrombosis, IV catheter clearance, and venous and arterial blood clots.|Thrombolytic Agents
Goserelin|Used to treat hormone-sensitive cancers of the breast (in pre- and peri- menopausal women) and prostate, and some benign gynaecological disorders (endometriosis, uterine fibroids and endometrial thinning). In addition, goserelin is used in assisted reproduction and in the treatment of precocious puberty.|component
Reteplase|For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction|Fibrinolytic Agents
Epoetin alfa|For treatment of anemia (from renal transplants or certain HIV treatment)|Hematinics
Salmon Calcitonin|Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.  |Bone Density Conservation Agents
Interferon alfa-n3|For the intralesional treatment of refractory or recurring external condylomata acuminata.|Immunosuppressive Agents
Pegfilgrastim|Increases leukocyte production, for treatment in non-myeloid cancer, neutropenia and bone marrow transplant|Immunosuppressive Agents
Sargramostim|For the treatment of cancer and bone marrow transplant|Immunosuppressive Agents
Secretin|For diagnosis of pancreatic exocrine dysfunction and gastrinoma|Diagnostic Agents
Peginterferon alfa-2b|For the treatment of chronic hepatitis C in patients not previously treated with interferon alpha who have compensated liver disease and are at least 18 years of age.|Immunosuppressive Agents
Asparaginase|For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma|Antineoplastic Agents
Thyrotropin Alfa|For detection of residueal or recurrent thyroid cancer|Diagnostic Agents
Antihemophilic Factor|For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency.|Coagulants
