lepirudin|antithrombins|For the treatment of heparin-induced thrombocytopenia
cetuximab|antineoplastic agents|For treatment of EGFR-expressing metastatic colorectal cancer in patients who are refractory to other irinotecan-based chemotherapy regimens. Cetuximab is also indicated for treatment of squamous cell carcinoma of the head and neck in conjucntion with radiation therapy.
dornase alfa|enzymes|Used as adjunct therapy in the treatment of cystic fibrosis. 
denileukin diftitox|antineoplastic agents|For treatment of cutaneous T-cell lymphoma
etanercept|immunosuppressive agents|For treatment of severe active rheumatoid arthritis in adults, severe juvenile idiopathic arthritis, ankylosing spondylitis, and severe plaque psoriasis.
bivalirudin|antithrombins|For treatment of heparin-induced thrombocytopenia and for theprevention of thrombosis. Bivalirudin is indicated for use inpatients undergoing percutaneous coronary intervention (PCI), inpatients at moderate to high risk acute coronary syndromes due tounstable angina or non-ST segment elevation in whom a PCI is planned.
leuprolide|antineoplastic agents, hormonal|For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty
peginterferon alfa-2a|immunosuppressive agents|For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.
alteplase|thrombolytic agents|For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli
sermorelin|hormone replacement agents|For the treatment of dwarfism, prevention of HIV-induced weight loss
interferon alfa-n1|antiviral agents|For treatment of venereal or genital warts caused by the Human Papiloma Virus
darbepoetin alfa|hematinics|For the treatment of anemia (from renal transplants or certain HIV treatment)
urokinase|thrombolytic agents|Urokinase can be used for the treatment of pulminary embolism, coronary artery thrombosis, IV catheter clearance, and venous and arterial blood clots.
goserelin|component|Used to treat hormone-sensitive cancers of the breast (in pre- and peri- menopausal women) and prostate, and some benign gynaecological disorders (endometriosis, uterine fibroids and endometrial thinning). In addition, goserelin is used in assisted reproduction and in the treatment of precocious puberty.
reteplase|fibrinolytic agents|For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction
epoetin alfa|hematinics|For treatment of anemia (from renal transplants or certain HIV treatment)
salmon calcitonin|bone density conservation agents|Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.  
interferon alfa-n3|immunosuppressive agents|For the intralesional treatment of refractory or recurring external condylomata acuminata.
pegfilgrastim|immunosuppressive agents|Increases leukocyte production, for treatment in non-myeloid cancer, neutropenia and bone marrow transplant
sargramostim|immunosuppressive agents|For the treatment of cancer and bone marrow transplant
secretin|diagnostic agents|For diagnosis of pancreatic exocrine dysfunction and gastrinoma
peginterferon alfa-2b|immunosuppressive agents|For the treatment of chronic hepatitis C in patients not previously treated with interferon alpha who have compensated liver disease and are at least 18 years of age.
asparaginase|antineoplastic agents|For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma
thyrotropin alfa|diagnostic agents|For detection of residueal or recurrent thyroid cancer
antihemophilic factor|coagulants|For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency.
anakinra|antirheumatic agents|For the treatment of adult rheumatoid arthritis and treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID). 
gramicidin d|anti-bacterial agents|For treatment of skin lesions, surface wounds and eye infections
intravenous immunoglobulin|immunologic factors|IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barré syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, Wiskott–Aldrich syndrome and inflammatory skin diseases.
anistreplase|fibrinolytic agents|For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction
insulin regular|antidiabetic agents|Indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus. 
tenecteplase|fibrinolytic agents|For treatment of myocardial infarction and lysis of intracoronary emboli
menotropins|fertility agents, female|For the treatment of female infertility
interferon gamma-1b|immunosuppressive agents|Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.
interferon alfa-2a, recombinant||For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection.
desmopressin|antidiuretic agents|Oral formulations may be used to manage primary nocturnal enuresis in adults and vasopressin sensitive diabetes insipidus, and for control of temporary polyuria and polydipsia following head trauma or surgery in the pituitary region. Intranasal and parenteral formulations may be used to manage spontaneous or trauma-induced bleeds (e.g. hemarthrosis, intramuscular hematoma, mucosal bleeding) in patients with hemophilia A or von Willebrand's disease Type I. May also be used parenterally to prevent or treat bleeding in patients with uremia. 
coagulation factor viia|coagulants|For treatment of hemorrhagic complications in hemophilia A and B
oprelvekin|antineoplastic agents|Increases reduced platelet levels due to chemotherapy
palifermin|anti-mucositis agents|For treatment of oral mucositis associated with chemotherapy and radiation therapy.
glucagon recombinant|hypoglycemic agents|For treatment of severe hypoglycemia, also used in gastrointestinal imaging
aldesleukin|antineoplastic agents|For treatment of adults with metastatic renal cell carcinoma.
botulinum toxin type b|antidystonic agents|For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.
omalizumab|anti-allergic agents|For treatment of asthma caused by allergies
lutropin alfa|fertility agents|For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L)
ospa lipoprotein|vaccines|For prophylactic treatment of Lyme Disease
insulin lispro|hypoglycemic agents|For the treatment of Type 1 or 2 diabetes mellitus. To be used in conjunction with an intermediate or long-acting insulin except when used in a continuous insulin infusion pump. 
insulin glargine|hypoglycemic agents|For the treatment of Type 1 or 2 diabetes mellitus in patients over 17 years old who require a long-acting (basal) insulin for the control of hyperglycemia. May be used in pediatric patients with Type 1 diabetes mellitus who require a long-acting (basal) insulin for glycemic control.  
collagenase|component|Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers.
rasburicase|gout suppressants|For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)
cetrorelix|hormone antagonists|For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation
adalimumab|antirheumatic agents|For treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and Crohn's disease.
somatropin recombinant|hormone replacement agents|For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss
imiglucerase|enzyme replacement agents|For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)
abciximab|anticoagulants|Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.
drotrecogin alfa|antisepsis|For reduction of mortality in patients with severe sepsis.
gemtuzumab ozogamicin|antineoplastic agents|For treatment of CD33-positive acute myeloid leukemia in patients 60 and over who are not candidates for other chemotherapy.
satumomab pendetide|diagnostic agents|For diagnosis of extrahepatic malignant cancers
alpha-1-proteinase inhibitor|serine proteinase inhibitors|For treatment of panacinar emphysema
pegaspargase|antineoplastic agents|For treatment of acute lymphoblastic leukemia
interferon beta-1a|antineoplastic agents|For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum
pegademase bovine|enzyme replacement agents|For treatment of adenosine deaminase deficiency
human serum albumin|serum substitutes|For treatment of severe blood loss, hypervolemia, hypoproteinemia
